,Doc,OP_Updated_Num,OP_Unit,OTR_Updated_Num,OTR_Unit,PCO2_Updated_Num,PCO2_Unit,WVTR_Updated_Num,WVTR_Unit,WVP_Updated_Num,WVP_Unit,thickness_Updated_Num,thickness_Unit,temperature_Updated_Num,temperature_Unit,RH_Updated_Num,RH_Unit,Base Material,Type,Secondary Material,Composition,Plasticizer
116,Gas permeation properties of poly(lactic acid),,,,,0.000266644,cm3cm/m2Pas,,,,,,,30.0,°C,,,polyethylene terephthalate,individual,None,,
117,Gas permeation properties of poly(lactic acid),0.0043996259999999,cm3cm/m2Pas,,,,,,,,,,,30.0,°C,,,polylactic acid,individual,None,,
118,Gas permeation properties of poly(lactic acid),5.33288E-05,cm3cm/m2Pas,,,,,,,,,,,30.0,°C,,,polyethylene terephthalate,individual,None,,
119,Gas transfer properties of wheat gluten coated paper adapted to eMAP of fresh parsley,,,,,6.779E-14,molm/m2Pas,,,,,7.35E-05,m,20.0,°C,90.0,%,paper,coated,wheat gluten,"[‘WG’, ’20.7’, ‘g/m2’]",
120,Gas transfer properties of wheat gluten coated paper adapted to eMAP of fresh parsley,,,,,1.84E-15,molm/m2Pas,,,,,7.35E-05,m,20.0,°C,70.0,%,paper,coated,wheat gluten,"[‘WG’, ’20.7’, ‘g/m2’]",
121,Gas transfer properties of wheat gluten coated paper adapted to eMAP of fresh parsley,,,,,2.7242E-14,molm/m2Pas,,,,,7.35E-05,m,20.0,°C,0.0,%,paper,coated,wheat gluten,"[‘WG’, ’20.7’, ‘g/m2’]",
122,Gas transfer properties of wheat gluten coated paper adapted to eMAP of fresh parsley,,,,,7.4E-18,molm/m2Pas,,,,,,,20.0,°C,0.0,%,wheat gluten,individual,None,,
123,Gas transfer properties of wheat gluten coated paper adapted to eMAP of fresh parsley,,,,,,,,,1.27E-11,molm/m2Pas,7.35E-05,m,25.0,°C,100.0,%,paper,coated,wheat gluten,"[‘WG’, ’20.7’, ‘g/m2’]",
124,Gas transfer properties of wheat gluten coated paper adapted to eMAP of fresh parsley,8.512E-15,molm/m2Pas,,,,,,,,,7.35E-05,m,20.0,°C,90.0,%,paper,coated,wheat gluten,"[‘WG’, ’20.7’, ‘g/m2’]",
125,Gas transfer properties of wheat gluten coated paper adapted to eMAP of fresh parsley,2.7242E-14,molm/m2Pas,,,,,,,,,7.35E-05,m,20.0,°C,0.0,%,paper,coated,wheat gluten,"[‘WG’, ’20.7’, ‘g/m2’]",
126,Gas transfer properties of wheat gluten coated paper adapted to eMAP of fresh parsley,2.22E-15,molm/m2Pas,,,,,,,,,7.35E-05,m,20.0,°C,70.0,%,paper,coated,wheat gluten,"[‘WG’, ’20.7’, ‘g/m2’]",
127,Gas transfer properties of wheat gluten coated paper adapted to eMAP of fresh parsley,2.16E-15,molm/m2Pas,,,,,,,,,7.35E-05,m,20.0,°C,0.0,%,paper,coated,wheat gluten,"[‘WG’, ’20.7’, ‘g/m2’]",
128,Gas transfer properties of wheat gluten coated paper adapted to eMAP of fresh parsley,1.24E-18,molm/m2Pas,,,,,,,,,,,20.0,°C,0.0,%,wheat gluten,individual,None,,
129,Gas transfer properties of wheat gluten coated paper adapted to eMAP of fresh parsley,,,,,,,,,3.7E-11,molm/m2Pas,7.35E-05,m,25.0,°C,100.0,%,paper,coated,wheat gluten,"[‘WG’, ’20.7’, ‘g/m2’]",
130,Antiplasticisation and oxygen permeability of starch–sorbitol films,1.5E-13,cm3cm/m2Pas,,,,,,,,,0.0005,m,20.0,°C,57.0,%,starch,individual,None,,"[‘sorbitol’,’8.8’, ‘wt%’]"
131,Antiplasticisation and oxygen permeability of starch–sorbitol films,1.43E-12,cm3cm/m2Pas,,,,,,,,,0.0005,m,20.0,°C,57.0,%,starch,individual,None,,"[‘sorbitol’,’0.0’, ‘wt%’]"
132,Antiplasticisation and oxygen permeability of starch–sorbitol films,4.3E-12,cm3cm/m2Pas,,,,,,,,,0.0005,m,20.0,°C,90.0,%,starch,individual,None,,"[‘sorbitol’,’8.8’, ‘wt%’]"
133,Antiplasticisation and oxygen permeability of starch–sorbitol films,3.1E-13,cm3cm/m2Pas,,,,,,,,,0.0005,m,20.0,°C,57.0,%,starch,individual,None,,"[‘sorbitol’,’21.0’, ‘wt%’]"
134,Antiplasticisation and oxygen permeability of starch–sorbitol films,1.2E-13,cm3cm/m2Pas,,,,,,,,,0.0005,m,20.0,°C,0.0,%,EVOH,individual,None,,
135,Antiplasticisation and oxygen permeability of starch–sorbitol films,1.45E-12,cm3cm/m2Pas,,,,,,,,,0.0005,m,20.0,°C,57.0,%,starch,individual,None,,"[‘sorbitol’,’24.3’, ‘wt%’]"
136,Antiplasticisation and oxygen permeability of starch–sorbitol films,3.7E-13,cm3cm/m2Pas,,,,,,,,,0.0005,m,20.0,°C,,,starch,individual,None,,"[‘sorbitol’,’0.0’, ‘wt%’]"
137,Antiplasticisation and oxygen permeability of starch–sorbitol films,1E-08,cm3cm/m2Pas,,,,,,,,,0.0005,m,20.0,°C,,,starch,individual,None,,"[‘sorbitol’,’28.0’, ‘wt%’]"
138,Antiplasticisation and oxygen permeability of starch–sorbitol films,9.346E-10,cm3cm/m2Pas,,,,,,,,,0.0005,m,20.0,°C,90.0,%,starch,individual,None,,"[‘sorbitol’,’28.0’, ‘wt%’]"
139,"Water vapor permeability, tensile properties and solubility of methylcellulose-based edible films",,,,,,,,,5.98E-11,gm/m2Pas,1.1E-05,m,25.0,°C,50.0,%,methylcellulose,individual,None,"[[‘MC’, ’1.5’, ’%’], [‘EtOH’, ’50.0’, ‘%’]]",
140,"Water vapor permeability, tensile properties and solubility of methylcellulose-based edible films",,,,,,,,,5.14E-11,gm/m2Pas,1.7E-05,m,25.0,°C,50.0,%,methylcellulose,individual,None,"[[‘MC’, ’3.0’, ’%’], [‘EtOH’, ’50.0’, ‘%’]]",
141,"Water vapor permeability, tensile properties and solubility of methylcellulose-based edible films",,,,,,,,,4.94E-11,gm/m2Pas,1.9E-05,m,25.0,°C,50.0,%,methylcellulose,individual,None,"[[‘MC’, ’4.0’, ’%’], [‘EtOH’, ’50.0’, ‘%’]]",
142,"Water vapor permeability, tensile properties and solubility of methylcellulose-based edible films",,,,,,,,,5.23E-11,gm/m2Pas,2.6E-05,m,25.0,°C,50.0,%,methylcellulose,individual,None,"[[‘MC’, ’5.0’, ’%’], [‘EtOH’, ’50.0’, ‘%’]]",
143,"Water vapor permeability, tensile properties and solubility of methylcellulose-based edible films",,,,,,,,,5.25E-11,gm/m2Pas,2.4E-05,m,25.0,°C,50.0,%,methylcellulose,individual,None,"[[‘MC’, ’6.0’, ’%’], [‘EtOH’, ’50.0’, ‘%’]]",
144,"Water vapor permeability, tensile properties and solubility of methylcellulose-based edible films",,,,,,,,,1.16E-10,gm/m2Pas,2.4E-05,m,25.0,°C,50.0,%,methylcellulose,individual,None,"[[‘MC’, ’3.0’, ’%’], [‘EtOH’, ’75.0’, ‘%’]]","[‘PEG400’,’0.66’,’%’]"
145,"Water vapor permeability, tensile properties and solubility of methylcellulose-based edible films",,,,,,,,,8.29E-11,gm/m2Pas,1.8E-05,m,25.0,°C,50.0,%,methylcellulose,individual,None,"[[‘MC’, ’3.0’, ’%’], [‘EtOH’, ’67.0’, ‘%’]]","[‘PEG400’,’0.66’,’%’]"
146,"Water vapor permeability, tensile properties and solubility of methylcellulose-based edible films",,,,,,,,,7.47E-11,gm/m2Pas,1.8E-05,m,25.0,°C,50.0,%,methylcellulose,individual,None,"[[‘MC’, ’3.0’, ’%’], [‘EtOH’, ’50.0’, ‘%’]]","[‘PEG400’,’0.66’,’%’]"
147,"Water vapor permeability, tensile properties and solubility of methylcellulose-based edible films",,,,,,,,,7.45E-11,gm/m2Pas,1.7E-05,m,25.0,°C,50.0,%,methylcellulose,individual,None,"[[‘MC’, ’3.0’, ’%’], [‘EtOH’, ’25.0’, ‘%’]]","[‘PEG400’,’0.66’,’%’]"
148,"Water vapor permeability, tensile properties and solubility of methylcellulose-based edible films",,,,,,,,,6.97E-11,gm/m2Pas,1.6E-05,m,25.0,°C,50.0,%,methylcellulose,individual,None,"[[‘MC’, ’3.0’, ’%’], [‘EtOH’, ’0.0’, ‘%’]]","[‘PEG400’,’0.66’,’%’]"
149,"Water vapor permeability, tensile properties and solubility of methylcellulose-based edible films",,,,,,,,,1.086E-10,gm/m2Pas,2.3E-05,m,25.0,°C,50.0,%,methylcellulose,individual,None,"[[‘MC’, ’3.0’, ’%’], [‘EtOH’, ’75.0’, ‘%’]]",
150,"Water vapor permeability, tensile properties and solubility of methylcellulose-based edible films",,,,,,,,,6.78E-11,gm/m2Pas,1.7E-05,m,25.0,°C,50.0,%,methylcellulose,individual,None,"[[‘MC’, ’3.0’, ’%’], [‘EtOH’, ’67.0’, ‘%’]]",
151,"Water vapor permeability, tensile properties and solubility of methylcellulose-based edible films",,,,,,,,,5.14E-11,gm/m2Pas,1.7E-05,m,25.0,°C,50.0,%,methylcellulose,individual,None,"[[‘MC’, ’3.0’, ’%’], [‘EtOH’, ’50.0’, ‘%’]]",
152,"Water vapor permeability, tensile properties and solubility of methylcellulose-based edible films",,,,,,,,,4.24E-11,gm/m2Pas,1.7E-05,m,25.0,°C,50.0,%,methylcellulose,individual,None,"[[‘MC’, ’3.0’, ’%’], [‘EtOH’, ’25.0’, ‘%’]]",
153,"Water vapor permeability, tensile properties and solubility of methylcellulose-based edible films",,,,,,,,,2.32E-11,gm/m2Pas,1.5E-05,m,25.0,°C,50.0,%,methylcellulose,individual,None,"[[‘MC’, ’3.0’, ’%’], [‘EtOH’, ’0.0’, ‘%’]]",
154,"Water vapor permeability, tensile properties and solubility of methylcellulose-based edible films",,,,,,,,,7.41E-11,gm/m2Pas,1.6E-05,m,25.0,°C,50.0,%,methylcellulose,individual,None,"[[‘MC’, ’3.0’, ’%’], [‘EtOH’, ’0.0’, ‘%’]]","[‘PEG1450’,’0.66’,’%’]"
155,"Water vapor permeability, tensile properties and solubility of methylcellulose-based edible films",,,,,,,,,7.32E-11,gm/m2Pas,1.6E-05,m,25.0,°C,50.0,%,methylcellulose,individual,None,"[[‘MC’, ’3.0’, ’%’], [‘EtOH’, ’0.0’, ‘%’]]","[‘PEG4000’,’0.66’,’%’]"
156,"Water vapor permeability, tensile properties and solubility of methylcellulose-based edible films",,,,,,,,,6.67E-11,gm/m2Pas,1.7E-05,m,25.0,°C,50.0,%,methylcellulose,individual,None,"[[‘MC’, ’3.0’, ’%’], [‘EtOH’, ’0.0’, ‘%’]]","[‘PEG8000’,’0.66’,’%’]"
157,"Water vapor permeability, tensile properties and solubility of methylcellulose-based edible films",,,,,,,,,8.7E-13,gm/m2Pas,,,,,,,LDPE,individual,None,,
158,"Water vapor permeability, tensile properties and solubility of methylcellulose-based edible films",,,,,,,,,2.2E-13,gm/m2Pas,,,,,,,HDPE,individual,None,,
159,Barrier and mechanical properties of carrot puree films,2.027E-11,cm3cm/m2Pas,,,,,,,,,,,23.0,°C,50.0,%,carrot puree,blend,CMC,"[[‘CMC’, ’0.3’, ’%’], [‘corn starch’, ’3.0’,’%’], [‘gelatin’,’0.3’,’%’]]","[‘GLY’, ’6.30’, ‘%’]"
160,Barrier and mechanical properties of carrot puree films,1.808E-11,cm3cm/m2Pas,,,,,,,,,,,23.0,°C,50.0,%,carrot puree,blend,CMC,"[[‘CMC’,’0.3’,’%’], [‘corn starch’, ’3.0’,’%’], [‘gelatin’,’0.3’,’%’]]","[‘GLY’, ’5.04’, ’%’]"
161,Barrier and mechanical properties of carrot puree films,1.486E-11,cm3cm/m2Pas,,,,,,,,,,,23.0,°C,50.0,%,carrot puree,blend,CMC,"[[‘CMC’,’0.3’,’%’], [‘corn starch’, ’3.0’,’%’], [‘gelatin’,’0.3’,’%’]]","[‘GLY’, ’3.78’, ’%’]"
162,Barrier and mechanical properties of carrot puree films,1.375E-11,cm3cm/m2Pas,,,,,,,,,,,23.0,°C,50.0,%,carrot puree,blend,CMC,"[[‘CMC’,’0.3’,’%’], [‘corn starch’, ’3.0’,’%’], [‘gelatin’,’0.3’,’%’]]","[‘GLY’, ’2.52’, ‘%’]"
163,Barrier and mechanical properties of carrot puree films,1.307E-11,cm3cm/m2Pas,,,,,,,,,,,23.0,°C,50.0,%,carrot puree,blend,CMC,"[[‘CMC’,’0.3’,’%’], [‘corn starch’, ’3.0’,’%’], [‘gelatin’,’0.3’,’%’]]","[‘GLY’, ’1.26’, ‘%’]"
164,Barrier and mechanical properties of carrot puree films,1.257E-11,cm3cm/m2Pas,,,,,,,,,,,23.0,°C,50.0,%,carrot puree,blend,CMC,"[[‘CMC’,’0.3’,’%’], [‘corn starch’, ’3.0’,’%’], [‘gelatin’,’0.3’,’%’]]","[’GLY’, ’0’, ’%’]"
165,Barrier and mechanical properties of carrot puree films,,,,,,,,,6.631E-09,gm/m2Pas,,,25.0,°C,,,carrot puree,blend,CMC,"[[‘CMC’,’0.3’,’%’], [‘corn starch’, ’3.0’,’%’], [‘gelatin’,’0.3’,’%’]]","[‘GLY’, ’6.30’, ‘%’]"
166,Barrier and mechanical properties of carrot puree films,,,,,,,,,4.886E-09,gm/m2Pas,,,25.0,°C,,,carrot puree,blend,CMC,"[[‘CMC’,’0.3’,’%’], [‘corn starch’, ’3.0’,’%’], [‘gelatin’,’0.3’,’%’]]","[‘GLY’, ’5.04’, ’%’]"
167,Barrier and mechanical properties of carrot puree films,,,,,,,,,2.844E-09,gm/m2Pas,,,25.0,°C,,,carrot puree,blend,CMC,"[[‘CMC’,’0.3’,’%’], [‘corn starch’, ’3.0’,’%’], [‘gelatin’,’0.3’,’%’]]","[‘GLY’, ’3.78’, ’%’]"
168,Barrier and mechanical properties of carrot puree films,,,,,,,,,2.308E-09,gm/m2Pas,,,25.0,°C,,,carrot puree,blend,CMC,"[[‘CMC’,’0.3’,’%’], [‘corn starch’, ’3.0’,’%’], [‘gelatin’,’0.3’,’%’]]","[‘GLY’, ’2.52’, ‘%’]"
169,Barrier and mechanical properties of carrot puree films,,,,,,,,,2.122E-09,gm/m2Pas,,,25.0,°C,,,carrot puree,blend,CMC,"[[‘CMC’,’0.3’,’%’], [‘corn starch’, ’3.0’,’%’], [‘gelatin’,’0.3’,’%’]]","[‘GLY’, ’1.26’, ‘%’]"
170,Barrier and mechanical properties of carrot puree films,,,,,,,,,1.761E-09,gm/m2Pas,,,25.0,°C,,,carrot puree,blend,CMC,"[[‘CMC’,’0.3’,’%’], [‘corn starch’, ’3.0’,’%’], [‘gelatin’,’0.3’,’%’]]","[’GLY’, ’0’, ’%’]"
171,Barrier and mechanical properties of carrot puree films,1.381E-11,cm3cm/m2Pas,,,,,,,,,,,23.0,°C,50.0,%,carrot puree,blend,gelatin,"[[‘CMC’,’0.3’,’%’], [‘corn starch’, ’3.0’,’%’], [‘gelatin’,’0.5’,’%’]]","[‘GLY’,’3.78’, ‘%’]"
172,Barrier and mechanical properties of carrot puree films,1.297E-11,cm3cm/m2Pas,,,,,,,,,,,23.0,°C,50.0,%,carrot puree,blend,gelatin,"[[‘CMC’,’0.3’,’%’], [‘corn starch’, ’3.0’,’%’], [‘gelatin’,’0.4’,’%’]]","[‘GLY’,’3.78’, ‘%’]"
173,Barrier and mechanical properties of carrot puree films,1.397E-11,cm3cm/m2Pas,,,,,,,,,,,23.0,°C,50.0,%,carrot puree,blend,gelatin,"[[‘CMC’,’0.3’,’%’], [‘corn starch’, ’3.0’,’%’], [‘gelatin’,’0.3’,’%’]]","[‘GLY’,’3.78’, ‘%’]"
174,Barrier and mechanical properties of carrot puree films,1.338E-11,cm3cm/m2Pas,,,,,,,,,,,23.0,°C,50.0,%,carrot puree,blend,gelatin,"[[‘CMC’,’0.3’,’%’], [‘corn starch’, ’3.0’,’%’], [‘gelatin’,’0.2’,’%’]]","[‘GLY’,’3.78’, ‘%’]"
175,Barrier and mechanical properties of carrot puree films,1.48E-11,cm3cm/m2Pas,,,,,,,,,,,23.0,°C,50.0,%,carrot puree,blend,gelatin,"[[‘CMC’,’0.3’,’%’], [‘corn starch’,’3.0’,’%’], [‘gelatin’,’0.1’,’%’]]","[‘GLY’,’3.78’, ‘%’]"
176,Barrier and mechanical properties of carrot puree films,1.457E-11,cm3cm/m2Pas,,,,,,,,,,,23.0,°C,50.0,%,carrot puree,blend,gelatin,"[[‘CMC’,’0.3’,’%’], [‘corn starch’, ’3.0’,’%’], [‘gelatin’,’0.0’,’%’]]","[‘GLY’,’3.78’, ‘%’]"
177,Barrier and mechanical properties of carrot puree films,,,,,,,,,2.872E-09,gm/m2Pas,,,25.0,°C,,,carrot puree,blend,gelatin,"[[‘CMC’,’0.3’,’%’], [‘corn starch’, ’3.0’,’%’], [‘gelatin’,’0.5’,’%’]]","[‘GLY’,’3.78’, ‘%’]"
178,Barrier and mechanical properties of carrot puree films,,,,,,,,,2.414E-09,gm/m2Pas,,,25.0,°C,,,carrot puree,blend,gelatin,"[[‘CMC’,’0.3’,’%’], [‘corn starch’, ’3.0’,’%’], [‘gelatin’,’0.4’,’%’]]","[‘GLY’,’3.78’, ‘%’]"
179,Barrier and mechanical properties of carrot puree films,,,,,,,,,2.156E-09,gm/m2Pas,,,25.0,°C,,,carrot puree,blend,gelatin,"[[‘CMC’,’0.3’,’%’], [‘corn starch’, ’3.0’,’%’], [‘gelatin’,’0.3’,’%’]]","[‘GLY’,’3.78’, ‘%’]"
180,Barrier and mechanical properties of carrot puree films,,,,,,,,,2.711E-09,gm/m2Pas,,,25.0,°C,,,carrot puree,blend,gelatin,"[[‘CMC’,’0.3’,’%’], [‘corn starch’, ’3.0’,’%’], [‘gelatin’,’0.2’,’%’]]","[‘GLY’,’3.78’, ‘%’]"
181,Barrier and mechanical properties of carrot puree films,,,,,,,,,3.469E-09,gm/m2Pas,,,25.0,°C,,,carrot puree,blend,gelatin,"[[‘CMC’,’0.3’,’%’],  [‘corn starch’, ’3.0’,’%’], [‘gelatin’,’0.1’,’%’]]","[‘GLY’,’3.78’, ‘%’]"
182,Barrier and mechanical properties of carrot puree films,,,,,,,,,3.828E-09,gm/m2Pas,,,25.0,°C,,,carrot puree,blend,gelatin,"[[‘CMC’,’0.3’,’%’], [‘corn starch’, ’3.0’,’%’], [‘gelatin’,’0.0’,’%’]]","[‘GLY’,’3.78’, ‘%’]"
183,Barrier and mechanical properties of carrot puree films,1.359E-11,cm3cm/m2Pas,,,,,,,,,,,23.0,°C,50.0,%,carrot puree,blend,CMC,"[[‘CMC’,’1.0’,’%’], [‘corn starch’, ’3.0’,’%’], [‘gelatin’,’0.3’,’%’]]","[‘GLY’,’3.78’, ‘%’]"
184,Barrier and mechanical properties of carrot puree films,1.373E-11,cm3cm/m2Pas,,,,,,,,,,,23.0,°C,50.0,%,carrot puree,blend,CMC,"[[‘CMC’,’0.7’,’%’], [‘corn starch’, ’3.0’,’%’], [‘gelatin’,’0.3’,’%’]]","[‘GLY’,’3.78’, ‘%’]"
185,Barrier and mechanical properties of carrot puree films,1.376E-11,cm3cm/m2Pas,,,,,,,,,,,23.0,°C,50.0,%,carrot puree,blend,CMC,"[[‘CMC’,’0.5’,’%’], [‘corn starch’, ’3.0’,’%’], [‘gelatin’,’0.3’,’%’]]","[‘GLY’,’3.78’, ‘%’]"
186,Barrier and mechanical properties of carrot puree films,1.398E-11,cm3cm/m2Pas,,,,,,,,,,,23.0,°C,50.0,%,carrot puree,blend,CMC,"[[‘CMC’,’0.3’,’%’], [‘corn starch’, ’3.0’,’%’], [‘gelatin’,’0.3’,’%’]]","[‘GLY’,’3.78’, ‘%’]"
187,Barrier and mechanical properties of carrot puree films,1.425E-11,cm3cm/m2Pas,,,,,,,,,,,23.0,°C,50.0,%,carrot puree,blend,CMC,"[[‘CMC’,’0.1’,’%’], [‘corn starch’, ’3.0’,’%’], [‘gelatin’,’0.3’,’%’]]","[‘GLY’,’3.78’, ‘%’]"
188,Barrier and mechanical properties of carrot puree films,1.453E-11,cm3cm/m2Pas,,,,,,,,,,,23.0,°C,50.0,%,carrot puree,blend,CMC,"[[‘CMC’,’0.0’,’%’], [‘corn starch’, ’3.0’,’%’], [‘gelatin’,’0.3’,’%’]]","[‘GLY’,’3.78’, ‘%’]"
189,Barrier and mechanical properties of carrot puree films,,,,,,,,,3.272E-09,gm/m2Pas,,,25.0,°C,,,carrot puree,blend,CMC,"[[‘CMC’,’1.0’,’%’], [‘corn starch’, ’3.0’,’%’], [‘gelatin’,’0.3’,’%’]]","[‘GLY’,’3.78’, ‘%’]"
190,Barrier and mechanical properties of carrot puree films,,,,,,,,,3.153E-09,gm/m2Pas,,,25.0,°C,,,carrot puree,blend,CMC,"[[‘CMC’,’0.7’,’%’], [‘corn starch’, ’3.0’,’%’], [‘gelatin’,’0.3’,’%’]]","[‘GLY’,’3.78’, ‘%’]"
191,Barrier and mechanical properties of carrot puree films,,,,,,,,,2.689E-09,gm/m2Pas,,,25.0,°C,,,carrot puree,blend,CMC,"[[‘CMC’,’0.5’,’%’], [‘corn starch’, ’3.0’,’%’], [‘gelatin’,’0.3’,’%’]]","[‘GLY’,’3.78’, ‘%’]"
192,Barrier and mechanical properties of carrot puree films,,,,,,,,,2.442E-09,gm/m2Pas,,,25.0,°C,,,carrot puree,blend,CMC,"[[‘CMC’,’0.3’,’%’], [‘corn starch’, ’3.0’,’%’], [‘gelatin’,’0.3’,’%’]]","[‘GLY’,’3.78’, ‘%’]"
193,Barrier and mechanical properties of carrot puree films,,,,,,,,,2.286E-09,gm/m2Pas,,,25.0,°C,,,carrot puree,blend,CMC,"[[‘CMC’,’0.1’,’%’], [‘corn starch’, ’3.0’,’%’], [‘gelatin’,’0.3’,’%’]]","[‘GLY’,’3.78’, ‘%’]"
194,Barrier and mechanical properties of carrot puree films,,,,,,,,,2.181E-09,gm/m2Pas,,,25.0,°C,,,carrot puree,blend,CMC,"[[‘CMC’,’0.0’,’%’], [‘corn starch’, ’3.0’,’%’], [‘gelatin’,’0.3’,’%’]]","[‘GLY’,’3.78’, ‘%’]"
195,Water vapor and oxygen-barrier performance of corn–zein coated polypropylene films,,,,,,,,,1.18333333333333E-10,gm/m2Pas,,,25.0,°C,60.0,%,polypropylene,individual,None,,
196,Water vapor and oxygen-barrier performance of corn–zein coated polypropylene films,,,0.0231481481481481,cm3/m2s,,,,,,,,,23.0,°C,0.0,%,polypropylene,individual,None,,
197,Water vapor and oxygen-barrier performance of corn–zein coated polypropylene films,,,0.0053935185185185,cm3/m2s,,,,,,,4E-06,m,23.0,°C,0.0,%,polypropylene,coated,corn–zein,"[‘CZ’, ’15.0’, ’%’]","[‘PEG’, ’0.2’, ’%’]"
198,Water vapor and oxygen-barrier performance of corn–zein coated polypropylene films,,,0.009386574074074,cm3/m2s,,,,,,,4E-06,m,23.0,°C,0.0,%,polypropylene,coated,corn–zein,"[‘CZ’, ‘5.0’, ’%’]","[‘PEG’, ’0.2’, ’%’]"
199,Water vapor and oxygen-barrier performance of corn–zein coated polypropylene films,,,0.0099305555555555,cm3/m2s,,,,,,,4E-06,m,23.0,°C,0.0,%,polypropylene,coated,corn–zein,"[‘CZ’, ’5.0’, ’%’]","[‘PEG’, ’0.5’, ’%’]"
200,Water vapor and oxygen-barrier performance of corn–zein coated polypropylene films,,,0.007048611111111,cm3/m2s,,,,,,,4E-06,m,23.0,°C,0.0,%,polypropylene,coated,corn–zein,"[‘CZ’, ‘5.0’, ’%’]","[‘GLY’, ’0.2’, ’%’]"
201,Water vapor and oxygen-barrier performance of corn–zein coated polypropylene films,,,0.0056481481481481,cm3/m2s,,,,,,,4E-06,m,23.0,°C,0.0,%,polypropylene,coated,corn–zein,"[‘CZ’, ’5.0’, ’%’]","[‘GLY’, ’0.5’, ’%’]"
202,Water vapor and oxygen-barrier performance of corn–zein coated polypropylene films,,,,,,,,,2.51666666666667E-11,gm/m2Pas,4E-06,m,25.0,°C,60.0,%,polypropylene,coated,corn–zein,"[‘CZ’, ‘5.0’, ’%’]","[‘PEG’, ’0.2’, ’%’]"
203,Water vapor and oxygen-barrier performance of corn–zein coated polypropylene films,,,,,,,,,1.1E-10,gm/m2Pas,4E-06,m,25.0,°C,60.0,%,polypropylene,coated,corn–zein,"[‘CZ’, ’5.0’, ’%’]","[‘PEG’, ’0.5’, ’%’]"
204,Water vapor and oxygen-barrier performance of corn–zein coated polypropylene films,,,,,,,,,1.58333333333333E-11,gm/m2Pas,4E-06,m,25.0,°C,60.0,%,polypropylene,coated,corn–zein,"[‘CZ’, ‘5.0’, ’%’]","[‘GLY’, ’0.2’, ’%’]"
205,Water vapor and oxygen-barrier performance of corn–zein coated polypropylene films,,,,,,,,,3.58333333333333E-11,gm/m2Pas,4E-06,m,25.0,°C,60.0,%,polypropylene,coated,corn–zein,"[‘CZ’, ’5.0’, ’%’]","[‘GLY’, ’0.5’, ’%’]"
206,Effect of plasticizers and fatty acids on mechanical and permeability characteristics of chitosan films,,,,,,,,,1.53009259259259E-10,gm/m2Pas,,,,,,,chitosan,individual,None,,
207,Effect of plasticizers and fatty acids on mechanical and permeability characteristics of chitosan films,,,,,,,,,9.07407407407407E-11,gm/m2Pas,,,,,90.0,%,chitosan,individual,None,,"[‘GLY’, ’0.4’, ’%’]"
208,Effect of plasticizers and fatty acids on mechanical and permeability characteristics of chitosan films,,,,,,,,,1.04166666666667E-10,gm/m2Pas,,,,,90.0,%,chitosan,individual,None,,"[‘sorbitol’,’0.1’,’%’]"
209,Effect of plasticizers and fatty acids on mechanical and permeability characteristics of chitosan films,,,,,,,,,1.88657407407407E-10,gm/m2Pas,,,,,90.0,%,chitosan,individual,None,,"[‘sorbitol’, ’0.5’, ’%’]"
210,Effect of plasticizers and fatty acids on mechanical and permeability characteristics of chitosan films,,,,,,,,,2.19907407407407E-10,gm/m2Pas,,,,,90.0,%,chitosan,individual,None,,"[‘PEG’, ’0.2’, ’%’]"
211,Effect of plasticizers and fatty acids on mechanical and permeability characteristics of chitosan films,,,,,,,,,1.14227229943983E-11,gm/m2Pas,,,23.0,℃,50.0,%,chitosan,individual,None,,"[‘GLY’, ’0.25’, ’mL/g’]"
212,Effect of plasticizers and fatty acids on mechanical and permeability characteristics of chitosan films,,,,,,,,,8.6812694757427E-12,gm/m2Pas,,,23.0,℃,50.0,%,chitosan,individual,None,,"[‘GLY’, ’0.25’, ’mL/g’]"
213,Effect of plasticizers and fatty acids on mechanical and permeability characteristics of chitosan films,,,,,,,,,1.56481481481482E-10,gm/m2Pas,,,,,90.0,%,chitosan,blend,stearic acid,"[‘FA’, ’0.5’, ’%’]",fatty acid
214,Effect of plasticizers and fatty acids on mechanical and permeability characteristics of chitosan films,,,,,,,,,1.66898148148148E-10,gm/m2Pas,,,,,90.0,%,chitosan,blend,palmitic acid,"[‘FA’, ’0.5’, ’%’]",fatty acid
215,Effect of plasticizers and fatty acids on mechanical and permeability characteristics of chitosan films,,,3.7037037037037E-06,cm3cm/m2Pas,,,,,,,,,,,,,chitosan,individual,None,,
216,Effect of plasticizers and fatty acids on mechanical and permeability characteristics of chitosan films,,,7.39583333333333E-08,cm3cm/m2Pas,,,,,,,,,,,,,chitosan,blend,palmitic acid,"[‘FA’, ’0.1’, ’%’]",fatty acid
217,Effect of plasticizers and fatty acids on mechanical and permeability characteristics of chitosan films,,,2.70833333333333E-08,cm3cm/m2Pas,,,,,,,,,23.0,℃,60.0,%,chitosan,blend,palmitic acid,,fatty acid
218,Gas permeation and mechanical properties of polypropylene nanocomposites with thermally-stable imidazolium modified clay,1.3733400462963E-05,cm3cm/m2Pas,,,,,,,,,,,23.0,°C,0.0,%,polypropylene,individual,None,"[‘OMMT’, ‘0.0’, ‘%’]",
