,Doc,OP_Updated_Num,OP_Unit,OTR_Updated_Num,OTR_Unit,PCO2_Updated_Num,PCO2_Unit,WVTR_Updated_Num,WVTR_Unit,WVP_Updated_Num,WVP_Unit,thickness_Updated_Num,thickness_Unit,temperature_Updated_Num,temperature_Unit,RH_Updated_Num,RH_Unit,Base Material,Type,Secondary Material,Composition,Plasticizer
21,"Tensile, water vapor barrier and antimicrobial properties of PLA nanoclay composite films",,,,,,,,,2.61E-11,gm/m2Pas,0.00012,m,25.0,°C,50.0,%,polylactic acid,individual,None,,
22,"Tensile, water vapor barrier and antimicrobial properties of PLA nanoclay composite films",,,,,,,,,4.66E-11,gm/m2Pas,9.14E-05,m,25.0,°C,50.0,%,polylactic acid,individual,None,,
23,Suitability of novel galactomannans as edible coatings for tropical fruits,,,,,6.119E-14,gm/m2Pas,,,,,3E-06,m,20.0,°C,,%,fruit,coated,galactomannans,"[‘GAL’, ‘1.5’, ’%’]","[‘GLY’, ‘1.0’, ‘%’]"
24,Suitability of novel galactomannans as edible coatings for tropical fruits,,,,,4.313E-14,gm/m2Pas,,,,,3E-06,m,20.0,°C,,%,fruit,coated,galactomannans,"[‘GAL’, ‘1.0’, ’%’]","[‘GLY’, ‘1.0’, ‘%’]"
25,Suitability of novel galactomannans as edible coatings for tropical fruits,,,,,4.785E-14,gm/m2Pas,,,,,3E-06,m,20.0,°C,,%,fruit,coated,galactomannans,"[‘GAL’, ‘0.5’, ’%’]","[‘GLY’, ‘1.0’, ‘%’]"
26,Suitability of novel galactomannans as edible coatings for tropical fruits,,,,,,,,,6.25E-11,gm/m2Pas,3E-06,m,20.0,°C,0.0,%,fruit,coated,galactomannans,"[‘GAL’, ‘0.5’, ’%’]","[‘GLY’, ‘1.5’, ‘%’]"
27,Suitability of novel galactomannans as edible coatings for tropical fruits,,,,,,,,,6.47E-11,gm/m2Pas,3E-06,m,20.0,°C,0.0,%,fruit,coated,galactomannans,"[‘GAL’, ‘1.0’, ’%’]","[‘GLY’, ‘1.5’, ‘%’]"
28,Suitability of novel galactomannans as edible coatings for tropical fruits,,,,,,,,,6.18E-11,gm/m2Pas,3E-06,m,20.0,°C,0.0,%,fruit,coated,galactomannans,"[‘GAL’, ‘1.5’, ’%’]","[‘GLY’, ‘1.5’, ‘%’]"
29,Suitability of novel galactomannans as edible coatings for tropical fruits,,,,,,,,,1.8E-11,gm/m2Pas,3E-06,m,20.0,°C,,%,locust bean gum,individual,None,"[‘LBG’, ‘1.0’, ’%’]","[‘PEG’, ‘1.7’, ‘%’]"
30,Suitability of novel galactomannans as edible coatings for tropical fruits,,,,,,,,,3.2E-11,gm/m2Pas,3E-06,m,20.0,°C,,%,locust bean gum,individual,None,"[‘LBG’, ‘1.0’, ’%’]","[‘PEG’, ‘0.4’, ‘%’]"
31,Suitability of novel galactomannans as edible coatings for tropical fruits,,,,,,,,,8.7E-11,gm/m2Pas,3E-06,m,20.0,°C,,%,corn starch,individual,None,"[‘CS’, ‘5’, ’%’]","[‘GLY’, ‘1.4’, ‘%’]"
32,Suitability of novel galactomannans as edible coatings for tropical fruits,9.9E-16,gm/m2Pas,,,,,,,,,3E-06,m,20.0,°C,,%,fruit,coated,galactomannans,"[‘GAL’, ‘0.5’, ’%’]","[‘GLY’, ‘1.5’, ‘%’]"
