Unnamed: 0,Doc,OP_Updated_Num,OP_Unit,OTR_Updated_Num,OTR_Unit,PCO2_Updated_Num,PCO2_Unit,WVTR_Updated_Num,WVTR_Unit,WVP_Updated_Num,WVP_Unit,thickness_Updated_Num,thickness_Unit,temperature_Updated_Num,temperature_Unit,RH_Updated_Num,RH_Unit,Base Material,Type,Secondary Material,Composition,Plasticizer,OTR_temperature_Num,OTR_RH_Num
17,"Tensile, water vapor barrier and antimicrobial properties of PLA nanoclay composite films",,,,,,,2203.925034965035,g/m2day,1555.2,gum/m2daykPa,7.15e-05,m,25.0,°C,50.0,%,polylactic acid,individual,None,None,,25.0,50.0
18,"Tensile, water vapor barrier and antimicrobial properties of PLA nanoclay composite films",,,,,,,2259.2206451612906,g/m2day,1797.12,gum/m2daykPa,8.06e-05,m,25.0,°C,50.0,%,polylactic acid,nanocomposite,NaMMT,"[‘NaMMT’, ’0.5’, ’%’]",,25.0,50.0
19,"Tensile, water vapor barrier and antimicrobial properties of PLA nanoclay composite films",,,,,,,1879.1181818181817,g/m2day,1468.8,gum/m2daykPa,7.92e-05,m,25.0,°C,50.0,%,polylactic acid,nanocomposite,OMMT,"[‘OMMT’, ’0.5’, ’%’]",,25.0,50.0
20,"Tensile, water vapor barrier and antimicrobial properties of PLA nanoclay composite films",,,,,,,1197.1048751486328,g/m2day,993.6,gum/m2daykPa,8.41e-05,m,25.0,°C,50.0,%,polylactic acid,nanocomposite,OMMT,"[‘OMMT’, ’0.5’, ’%’]",,25.0,50.0
21,"Tensile, water vapor barrier and antimicrobial properties of PLA nanoclay composite films",,,,,,,1904.0994,g/m2day,2255.04,gum/m2daykPa,0.00012,m,25.0,°C,50.0,%,polylactic acid,individual,None,None,,25.0,50.0
22,"Tensile, water vapor barrier and antimicrobial properties of PLA nanoclay composite films",,,,,,,4463.4438512035,g/m2day,4026.24,gum/m2daykPa,9.14e-05,m,25.0,°C,50.0,%,polylactic acid,individual,None,None,,25.0,50.0
23,Suitability of novel galactomannans as edible coatings for tropical fruits,,,,,6.119e-14,gm/m2Pas,,,,,3e-06,m,20.0,°C,,%,fruit,coated,galactomannans,"[‘GAL’, ‘1.5’, ’%’]","[‘GLY’, ‘1.0’, ‘%’]",20.0,50.0
24,Suitability of novel galactomannans as edible coatings for tropical fruits,,,,,4.313e-14,gm/m2Pas,,,,,3e-06,m,20.0,°C,,%,fruit,coated,galactomannans,"[‘GAL’, ‘1.0’, ’%’]","[‘GLY’, ‘1.0’, ‘%’]",20.0,50.0
25,Suitability of novel galactomannans as edible coatings for tropical fruits,,,,,4.785e-14,gm/m2Pas,,,,,3e-06,m,20.0,°C,,%,fruit,coated,galactomannans,"[‘GAL’, ‘0.5’, ’%’]","[‘GLY’, ‘1.0’, ‘%’]",20.0,50.0
26,Suitability of novel galactomannans as edible coatings for tropical fruits,,,,,,,182385.0,g/m2day,5400.0,gum/m2daykPa,3e-06,m,20.0,°C,0.0,%,fruit,coated,galactomannans,"[‘GAL’, ‘0.5’, ’%’]","[‘GLY’, ‘1.5’, ‘%’]",20.0,0.0
