Base Material,Type,Secondary Material,WVTR_Updated_Num,OTR_Updated_Num,WVTR_Updated_Unit,OTR_Updated_Unit
polylactic acid,individual,None,,8.125e-08,,
paperboard,coated,PLA,,4.86111111111111e-08,,
paperboard,coated,"PLA, Al2O3",,2.3148148148148102e-09,,
paperboard,coated,"PLA, Al2O3",,1.38888888888889e-09,,
polylactic acid,individual,None,,,,
polyethylene terephthalate,individual,None,,,,
polylactic acid,individual,None,,3851643782.447912,,cm3/m2day
polyethylene terephthalate,individual,None,,46686591.3024,,cm3/m2day
paper,coated,wheat gluten,,,,
paper,coated,wheat gluten,,,,
paper,coated,wheat gluten,,,,
wheat gluten,individual,None,,,,
paper,coated,wheat gluten,,,,
paper,coated,wheat gluten,,,,
paper,coated,wheat gluten,,,,
paper,coated,wheat gluten,,,,
paper,coated,wheat gluten,,,,
wheat gluten,individual,None,,,,
paper,coated,wheat gluten,,,,
starch,individual,None,,0.02626344,,cm3/m2day
starch,individual,None,,0.250378128,,cm3/m2day
starch,individual,None,,0.75288528,,cm3/m2day
starch,individual,None,,0.05427777599999999,,cm3/m2day
EVOH,individual,None,,0.021010752,,cm3/m2day
starch,individual,None,,0.25387992000000004,,cm3/m2day
starch,individual,None,,0.064783152,,cm3/m2day
starch,individual,None,,1750.896,,cm3/m2day
starch,individual,None,,163.63874016000003,,cm3/m2day
methylcellulose,individual,None,47592.53672727273,,g/m2day,
methylcellulose,individual,None,26469.42776470588,,g/m2day,
methylcellulose,individual,None,22761.647999999997,,g/m2day,
methylcellulose,individual,None,17609.973230769232,,g/m2day,
methylcellulose,individual,None,19150.425,,g/m2day,
methylcellulose,individual,None,42313.32,,g/m2day,
methylcellulose,individual,None,40319.244000000006,,g/m2day,
methylcellulose,individual,None,36331.092,,g/m2day,
methylcellulose,individual,None,38365.221176470586,,g/m2day,
methylcellulose,individual,None,38136.7035,,g/m2day,
methylcellulose,individual,None,41336.370782608705,,g/m2day,
methylcellulose,individual,None,34914.92611764706,,g/m2day,
